# TypeTokenRatio, GuiraudsIndex, Yule's_K, HapaxLegonema, AdvancedGuiraud, Avaliacao
1.21739,4.34659,127.55102,23.00000,1.70084,688.00000
1.47619,7.54342,144.38085,84.00000,2.78388,812.00000
1.00000,4.12311,0.00000,17.00000,1.94029,500.00000
1.04545,4.58732,37.80718,22.00000,2.08514,688.00000
1.31250,4.93771,158.73016,32.00000,1.69734,688.00000
1.21667,7.02247,75.06099,60.00000,3.16011,875.00000
1.21154,6.55138,70.54674,52.00000,2.26779,688.00000
1.13793,5.04825,91.82736,29.00000,4.17786,188.00000
1.66667,2.68328,750.00000,12.00000,0.67082,375.00000
1.36364,7.51443,74.37642,77.00000,3.90360,562.00000
1.23404,6.17140,83.23424,47.00000,2.75744,562.00000
1.10870,6.44129,38.44675,46.00000,4.48090,312.00000
1.50000,2.00000,987.65432,6.00000,1.00000,62.00000
1.25532,6.11888,80.43666,47.00000,2.47359,500.00000
1.34848,6.99599,93.42255,66.00000,3.81599,875.00000
1.00000,3.74166,0.00000,14.00000,1.87083,500.00000
1.18182,5.28423,118.34320,33.00000,2.56205,625.00000
1.27027,5.39700,162.96967,37.00000,1.45865,625.00000
1.11111,4.92950,66.66667,27.00000,3.65148,438.00000
1.09677,5.31646,69.20415,31.00000,4.28746,312.00000
1.24138,6.83537,61.72840,58.00000,3.53553,562.00000
1.10000,4.26401,82.64463,20.00000,3.19801,562.00000
1.29630,7.90479,61.67800,81.00000,4.39155,438.00000
1.18367,6.43402,71.34364,49.00000,3.02005,562.00000
1.12000,4.72456,102.04082,25.00000,2.26779,500.00000
1.45783,7.54545,114.74626,83.00000,5.45455,375.00000
1.16279,6.08112,72.00000,43.00000,1.97990,938.00000
1.09302,6.27219,45.26935,43.00000,2.91730,500.00000
1.07353,7.95880,18.76525,68.00000,3.62828,688.00000
1.14286,5.53399,62.50000,35.00000,1.73925,500.00000
1.42169,7.64077,83.30939,83.00000,2.85378,625.00000
1.54545,3.77297,311.41869,22.00000,1.71499,438.00000
1.06250,5.48795,34.60208,32.00000,4.63046,0.00000
1.31765,8.03175,76.53061,85.00000,4.25210,562.00000
1.30000,4.80384,170.94017,30.00000,2.40192,500.00000
1.66667,6.29285,171.90083,66.00000,3.33712,625.00000
1.66667,6.29285,171.90083,66.00000,3.33712,562.00000
1.24138,4.83333,123.45679,29.00000,2.50000,500.00000
1.14286,4.94975,97.65625,28.00000,2.47487,500.00000
1.73913,5.14296,196.87500,46.00000,2.12426,500.00000
1.18605,6.02120,107.65090,43.00000,3.36067,438.00000
2.00000,3.87298,472.22222,30.00000,1.67829,312.00000
1.08824,5.58957,43.82761,34.00000,2.79478,375.00000
1.21569,6.47701,72.84079,51.00000,3.17500,500.00000
1.31818,4.08530,166.46849,22.00000,3.71391,375.00000
1.14815,4.84934,145.68158,27.00000,2.69408,562.00000
1.32500,5.49442,113.91954,40.00000,2.33513,438.00000
1.24324,7.71503,63.79962,74.00000,3.85752,438.00000
1.14286,5.53399,62.50000,35.00000,3.16228,625.00000
1.51923,5.85046,208.29995,52.00000,4.27533,500.00000
1.00000,5.29150,0.00000,28.00000,2.26779,562.00000
1.67532,6.77947,180.27763,77.00000,4.49030,562.00000
1.34615,7.61202,74.37642,78.00000,4.87950,562.00000
1.71429,6.06218,137.17421,63.00000,3.56033,312.00000
1.35000,5.44331,144.03292,40.00000,2.99382,438.00000
1.25000,6.19677,127.77778,48.00000,3.22749,562.00000
1.31507,7.45053,75.95486,73.00000,3.57217,562.00000
1.57143,6.33174,204.06081,63.00000,3.61814,500.00000
1.17647,6.58407,61.11111,51.00000,2.45289,625.00000
1.36957,5.79546,136.05442,46.00000,3.02372,562.00000
1.35417,5.95367,108.87574,48.00000,3.22490,562.00000
1.45349,7.69207,97.28000,86.00000,3.84604,562.00000
1.37079,8.05768,96.74819,89.00000,2.26339,562.00000
1.16667,5.07093,81.63265,30.00000,2.87352,438.00000
1.68750,3.07920,493.82716,16.00000,1.53960,500.00000
1.46429,4.37287,249.85128,28.00000,1.56174,438.00000
1.15385,7.50555,39.11111,65.00000,2.88675,750.00000
1.21739,6.14701,82.90816,46.00000,2.53898,562.00000
1.26389,7.54765,77.28535,72.00000,4.61245,375.00000
1.28333,6.83763,94.45100,60.00000,3.41882,500.00000
1.27273,7.20119,70.86168,66.00000,3.38238,500.00000
1.35484,8.28510,80.62484,93.00000,4.63253,438.00000
1.21053,3.96177,189.03592,19.00000,1.45960,438.00000
1.54237,6.18488,140.07970,59.00000,2.41106,562.00000
1.25000,3.09839,355.55556,12.00000,1.80739,438.00000
1.35821,7.02351,99.02186,67.00000,3.66900,562.00000
1.10714,5.02895,62.43496,28.00000,3.59211,312.00000
1.11111,6.36396,48.00000,45.00000,3.95980,312.00000
1.22500,5.71429,108.28821,40.00000,2.14286,438.00000
1.40580,7.00589,108.40684,69.00000,4.16292,688.00000
1.28571,8.08290,66.87243,84.00000,3.75278,812.00000
1.45882,7.63323,106.65973,85.00000,5.11875,375.00000
1.38983,6.51546,130.87448,59.00000,3.53381,625.00000
1.37255,6.09567,163.26531,51.00000,3.70521,625.00000
1.15385,8.88069,29.02494,91.00000,5.66022,500.00000
1.28889,5.90879,142.68728,45.00000,3.80789,375.00000
1.21212,5.21776,100.00000,33.00000,3.79473,250.00000
1.36364,4.91935,167.90123,33.00000,1.49071,562.00000
1.51163,5.33349,241.42012,43.00000,3.47297,562.00000
1.80000,5.00000,274.34842,45.00000,2.00000,438.00000
1.27273,5.09201,136.05442,33.00000,2.00594,562.00000
1.25714,5.27645,154.95868,35.00000,3.16587,562.00000
1.41818,6.22752,111.76857,55.00000,3.17038,500.00000
1.34783,5.84201,140.47867,46.00000,2.41300,625.00000
1.25000,5.93296,99.17355,44.00000,2.69680,500.00000
1.64286,5.05621,193.23671,42.00000,1.44463,562.00000
1.60465,5.17659,189.03592,43.00000,1.56502,562.00000
1.98529,5.85251,334.70508,68.00000,2.32379,562.00000
1.23333,4.93197,116.87363,30.00000,2.13719,562.00000
1.19149,6.28064,70.15306,47.00000,3.47440,500.00000
1.34286,5.10527,153.91580,35.00000,2.47970,438.00000
1.20930,5.96303,88.75740,43.00000,2.35748,438.00000
1.28571,6.17342,115.89821,49.00000,2.64575,562.00000
1.59551,7.46871,149.77187,89.00000,3.69240,562.00000
1.11628,6.20652,43.40278,43.00000,3.46410,562.00000
1.29630,6.45423,81.63265,54.00000,3.46616,812.00000
1.25000,7.15542,62.50000,64.00000,4.80755,562.00000
1.38235,4.95941,181.07741,34.00000,2.18797,562.00000
1.50000,7.02377,137.97581,74.00000,6.26444,438.00000
1.61905,7.20294,196.79931,84.00000,3.60147,562.00000
1.21429,5.88118,76.89350,42.00000,3.92078,500.00000
1.22414,6.88333,75.38187,58.00000,4.74713,375.00000
1.32857,7.25866,101.74587,70.00000,4.04411,500.00000
1.42424,6.80738,113.17338,66.00000,2.78484,438.00000
1.53333,6.25543,146.50284,60.00000,2.18940,438.00000
1.11111,6.97137,33.33333,54.00000,4.64758,562.00000
1.65909,5.14981,221.42991,44.00000,1.87266,562.00000
1.24242,5.15373,118.97680,33.00000,3.12348,562.00000
1.66176,6.39690,151.93046,68.00000,2.91623,500.00000
1.44068,6.39945,146.71280,59.00000,3.14549,688.00000
1.11364,6.28571,49.97918,44.00000,2.14286,562.00000
1.28571,5.21749,108.64198,35.00000,2.83235,562.00000
1.31579,5.37401,184.00000,38.00000,2.40416,750.00000
1.50000,6.83130,179.59184,70.00000,3.41565,562.00000
1.50704,6.86383,138.00332,71.00000,2.70686,750.00000
1.40367,8.81213,58.09731,109.00000,4.12311,562.00000
1.27907,5.79812,158.67769,43.00000,2.96648,562.00000
1.53623,6.70187,224.27910,69.00000,3.98227,562.00000
1.33333,5.19615,147.56944,36.00000,2.74241,562.00000
1.44615,6.70424,117.70032,65.00000,4.33197,562.00000
1.20930,5.96303,66.56805,43.00000,3.05085,562.00000
1.32692,6.26006,117.62235,52.00000,4.45428,562.00000
1.55556,4.81070,210.45918,36.00000,2.67261,625.00000
1.52381,7.42462,103.75977,84.00000,4.33103,688.00000
2.15385,5.49350,301.02041,65.00000,2.95804,562.00000
1.35821,7.02351,84.53085,67.00000,3.24968,625.00000
1.10169,7.31805,33.13609,59.00000,4.71332,438.00000
1.55422,7.30774,153.83691,83.00000,4.13812,438.00000
1.26316,6.71751,84.87654,57.00000,3.65339,625.00000
1.26866,7.26717,102.42215,67.00000,3.03703,562.00000
1.42500,7.49269,124.65374,80.00000,3.55903,750.00000
1.12500,4.61880,82.30453,24.00000,4.04145,312.00000
1.56923,6.43596,405.61323,65.00000,4.05960,438.00000
1.36765,7.05127,335.29888,68.00000,4.56259,562.00000
1.33333,6.53835,145.42936,57.00000,5.16185,0.00000
1.62500,5.87040,268.08356,56.00000,2.62071,500.00000
1.20000,5.40062,90.70295,35.00000,1.69734,438.00000
1.54167,5.57989,186.26735,48.00000,2.20871,375.00000
1.03279,7.68528,10.07811,61.00000,7.05534,0.00000
1.20000,7.35980,49.30966,65.00000,6.22752,188.00000
1.30000,5.54700,118.34320,40.00000,2.49615,688.00000
1.62025,6.98268,366.21094,79.00000,4.15425,562.00000
1.28000,4.41942,195.31250,25.00000,1.76777,500.00000
1.54902,5.73795,134.59382,51.00000,3.03774,625.00000
1.68421,5.81754,308.15972,57.00000,2.24537,500.00000
1.35000,10.18350,54.86968,140.00000,5.23723,562.00000
1.25000,4.73286,130.61224,28.00000,2.02837,438.00000
1.59322,6.08539,239.92757,59.00000,2.68170,875.00000
1.28571,3.29983,308.64198,14.00000,2.82843,62.00000
1.29412,7.24882,95.55785,68.00000,3.09141,688.00000
1.23529,6.42540,80.62484,51.00000,3.90563,562.00000
1.36145,7.80798,109.64054,83.00000,4.51546,562.00000
1.18750,5.19109,96.95291,32.00000,3.56887,312.00000
1.16129,5.16667,92.59259,31.00000,3.33333,500.00000
1.05263,6.00833,25.00000,38.00000,3.32039,500.00000
1.29310,6.69726,110.22222,58.00000,3.00222,688.00000
1.14634,5.98046,81.48483,41.00000,2.77143,312.00000
1.62281,8.38145,142.58583,114.00000,6.39637,250.00000
1.46988,7.51447,119.59151,83.00000,3.71197,625.00000
1.32258,8.38553,96.50340,93.00000,6.40185,312.00000
1.47059,4.80833,240.00000,34.00000,2.96985,562.00000
1.24138,8.37158,106.31001,87.00000,5.96595,375.00000
1.35593,6.59640,190.62500,59.00000,2.90689,625.00000
1.40323,6.64710,108.33664,62.00000,2.57307,562.00000
1.31579,7.60000,98.00000,76.00000,3.40000,500.00000
1.30769,5.46109,123.02960,39.00000,2.38048,562.00000
1.61905,3.60147,346.02076,21.00000,2.22948,500.00000
1.31034,6.65306,83.10249,58.00000,3.90007,688.00000
1.43902,5.33775,160.87331,41.00000,1.56227,625.00000
1.65714,4.59573,315.10107,35.00000,2.36352,562.00000
2.02632,4.33050,323.83201,38.00000,1.36753,562.00000
1.71429,4.51848,355.55556,35.00000,1.80739,438.00000
1.50000,6.00000,176.80232,54.00000,3.11111,438.00000
1.16000,6.56532,53.50773,50.00000,3.15135,500.00000
1.33333,6.70820,159.37500,60.00000,4.80755,500.00000
1.57303,7.52187,139.79592,89.00000,3.88771,500.00000
1.27500,5.60112,207.61246,40.00000,3.36067,375.00000
1.27692,7.13468,72.57947,65.00000,2.85387,562.00000
1.54545,7.05858,114.39870,77.00000,3.75846,562.00000
1.34234,9.09347,100.89636,111.00000,7.12732,312.00000
1.28889,5.90879,118.90606,45.00000,3.28266,625.00000
1.04348,6.63953,17.36111,46.00000,4.33013,562.00000
1.46667,4.52267,371.90083,30.00000,1.50756,438.00000
1.36538,6.17126,107.12160,52.00000,3.32299,562.00000
1.80435,5.04916,354.18784,46.00000,1.86599,562.00000
1.36957,5.79546,226.75737,46.00000,2.64575,812.00000
1.39326,7.99244,105.35900,89.00000,3.68191,562.00000
1.69697,6.23641,170.59949,66.00000,3.30719,562.00000
1.37097,6.72484,119.03114,62.00000,3.03703,562.00000
1.41935,6.60922,173.03719,62.00000,3.83761,438.00000
1.54444,7.63370,97.30345,90.00000,3.73203,625.00000
1.51562,9.18986,80.24232,128.00000,4.37954,625.00000
1.50000,5.77350,163.55556,50.00000,2.65581,500.00000
1.47273,6.11111,149.36747,55.00000,2.88889,438.00000
1.35135,5.23259,176.00000,37.00000,2.54558,438.00000
1.32353,5.06842,158.02469,34.00000,2.38514,562.00000
1.46154,4.21776,360.11080,26.00000,1.94666,438.00000
1.28947,5.42857,116.61808,38.00000,3.42857,500.00000
1.31481,6.40862,103.15414,54.00000,3.79770,562.00000
1.14286,5.53399,75.00000,35.00000,2.21359,438.00000
1.21839,8.45019,72.97971,87.00000,5.63346,375.00000
1.36842,5.26965,125.73964,38.00000,2.91218,562.00000
1.15789,5.72872,82.64463,38.00000,3.16587,562.00000
1.30357,6.55430,150.12197,56.00000,4.09644,875.00000
1.33333,8.07775,81.74792,87.00000,3.99245,688.00000
1.18000,6.50945,74.69118,50.00000,4.29623,500.00000
1.21569,6.47701,72.84079,51.00000,3.68300,625.00000
1.26744,8.23731,58.91760,86.00000,4.69335,375.00000
1.27083,6.14577,96.74819,48.00000,3.84111,625.00000
1.40000,5.97614,204.08163,50.00000,2.27093,562.00000
1.32353,5.06842,197.53086,34.00000,3.13050,562.00000
1.03030,5.65945,17.30104,33.00000,3.08697,500.00000
1.21154,6.55138,141.09347,52.00000,4.66156,375.00000
1.29412,6.27767,87.23600,51.00000,2.09256,625.00000
1.27692,7.13468,66.77312,65.00000,2.96364,750.00000
1.29412,7.24882,77.47934,68.00000,3.62441,562.00000
2.00000,5.00000,402.00000,50.00000,2.40000,438.00000
1.06557,7.56612,18.93491,61.00000,3.47297,438.00000
1.50909,6.03703,240.96386,55.00000,2.96364,500.00000
1.03226,5.48008,19.53125,31.00000,2.82843,625.00000
1.29630,6.45423,77.55102,54.00000,3.46616,562.00000
1.20312,7.29348,50.59875,64.00000,5.92595,500.00000
1.21053,5.60279,122.87335,38.00000,2.94884,500.00000
1.14706,7.69948,36.16042,68.00000,4.18943,688.00000
1.51316,7.08704,117.95841,76.00000,4.00977,750.00000
1.49153,6.28942,160.12397,59.00000,3.83761,562.00000
1.23077,6.50000,68.35938,52.00000,2.87500,688.00000
1.20370,6.69788,61.53846,54.00000,3.10087,625.00000
1.34783,8.26184,61.13424,92.00000,4.75954,562.00000
1.00000,6.40312,0.00000,41.00000,3.90434,500.00000
1.50000,5.03322,363.18867,38.00000,3.97360,0.00000
1.28947,7.67716,83.29863,76.00000,3.43452,562.00000
1.13514,5.70922,68.02721,37.00000,4.01189,500.00000
1.27848,7.86079,60.77836,79.00000,4.07965,500.00000
1.43750,7.46004,114.93384,80.00000,3.82327,500.00000
1.25758,7.24444,72.57947,66.00000,3.95151,625.00000
1.30303,7.11696,100.05408,66.00000,3.23498,500.00000
1.29167,6.09601,109.26119,48.00000,3.81000,562.00000
1.33333,6.18466,129.75779,51.00000,3.15296,562.00000
1.46154,5.96481,162.74238,52.00000,2.86770,438.00000
1.47273,6.11111,128.02926,55.00000,3.77778,500.00000
1.53333,6.25543,129.96219,60.00000,3.33623,625.00000
1.24000,6.35001,130.07284,50.00000,2.66700,562.00000
1.33735,7.87801,61.68330,83.00000,3.22714,438.00000
1.38462,6.12826,131.17284,52.00000,3.53553,562.00000
1.07143,5.11208,44.44444,28.00000,3.10376,438.00000
1.25714,5.27645,134.29752,35.00000,2.86436,562.00000
1.68750,5.33333,204.23716,48.00000,2.77778,312.00000
1.31707,5.57939,198.90261,41.00000,3.40207,375.00000
1.26471,5.18495,129.79989,34.00000,3.50747,125.00000
2.10714,3.64529,499.85636,28.00000,1.69246,500.00000
1.09091,5.50000,61.72840,33.00000,4.83333,375.00000
1.35135,5.23259,240.00000,37.00000,3.39411,250.00000
1.78689,5.84274,156.55248,61.00000,3.54396,438.00000
1.21212,5.21776,100.00000,33.00000,2.37171,250.00000
1.14286,4.94975,97.65625,28.00000,3.53553,312.00000
1.51515,4.66690,248.00000,33.00000,1.41421,750.00000
1.37500,4.82418,258.26446,32.00000,2.41209,438.00000
1.08571,5.67775,41.55125,35.00000,3.08221,312.00000
1.33333,4.50000,308.64198,27.00000,1.16667,438.00000
1.55000,6.22171,191.92970,60.00000,3.21455,562.00000
1.56522,3.83333,308.64198,23.00000,2.00000,312.00000
1.34615,4.39480,244.89796,26.00000,3.04256,500.00000
1.15625,5.26077,160.70124,32.00000,3.61678,312.00000
1.12500,7.05534,45.35147,56.00000,5.54348,312.00000
1.37838,7.32709,76.89350,74.00000,4.85172,438.00000
1.50000,6.42910,221.99098,62.00000,3.94042,438.00000
1.66667,3.00000,544.00000,15.00000,0.80000,250.00000
1.09091,8.98146,19.53125,88.00000,4.89898,438.00000
1.48889,5.49762,155.93673,45.00000,2.68773,438.00000
1.56989,7.69673,208.29424,93.00000,5.62772,312.00000
1.52778,4.85424,271.07438,36.00000,1.48324,438.00000
1.65000,3.48155,367.30946,20.00000,1.56670,375.00000
1.51351,4.94433,210.45918,37.00000,3.07350,562.00000
1.22581,5.02886,124.65374,31.00000,3.40665,375.00000
1.22222,3.83761,165.28926,18.00000,2.13201,188.00000
1.04545,4.58732,37.80718,22.00000,3.96177,250.00000
1.20000,4.56435,133.33333,25.00000,3.28634,125.00000
1.31250,6.98297,76.53061,64.00000,2.29129,438.00000
1.16000,4.64238,118.90606,25.00000,2.22834,500.00000
1.62500,5.87040,200.45888,56.00000,1.57243,438.00000
1.32308,7.00913,81.12493,65.00000,3.12715,562.00000
1.71111,5.12823,381.17726,45.00000,3.76070,250.00000
1.05405,5.92474,26.29849,37.00000,2.56205,562.00000
1.26866,7.26717,69.20415,67.00000,3.14549,562.00000
1.05405,5.92474,26.29849,37.00000,4.00320,500.00000
1.29070,8.16276,66.55304,86.00000,3.41697,625.00000
1.05000,6.17213,22.67574,40.00000,3.85758,500.00000
1.41538,6.77672,120.51040,65.00000,3.23197,625.00000
1.93023,4.71986,313.54333,43.00000,2.19529,375.00000
1.38636,5.63362,128.99758,44.00000,1.92055,625.00000
1.19318,8.58792,45.35147,88.00000,4.58673,500.00000
1.19753,8.22430,51.01499,81.00000,3.55371,500.00000
1.16667,5.07093,114.28571,30.00000,2.53546,500.00000
1.53846,4.11096,250.00000,26.00000,1.42302,562.00000
1.57778,5.34052,206.30827,45.00000,1.78017,562.00000
1.50685,6.96028,145.45455,73.00000,3.24177,500.00000
1.42000,5.93391,134.89387,50.00000,2.25489,562.00000
1.42254,7.06476,98.02960,71.00000,3.18412,250.00000
1.56250,5.54256,202.66667,48.00000,3.23316,688.00000
1.26316,6.71751,81.01852,57.00000,3.88909,562.00000
1.27660,6.06767,100.00000,47.00000,2.58199,750.00000
1.36620,7.20896,85.02498,71.00000,3.14757,688.00000
1.10000,6.03023,51.65289,40.00000,2.71360,750.00000
1.45161,6.53537,143.20988,62.00000,4.00555,438.00000
1.07407,5.01377,47.56243,27.00000,4.08530,312.00000
1.35211,7.24641,117.18750,71.00000,2.85774,625.00000
1.28205,7.80000,62.00000,78.00000,4.30000,500.00000
1.51282,7.18048,180.98248,78.00000,3.03790,562.00000
1.19753,8.22430,48.88936,81.00000,4.26445,562.00000
1.52239,6.63399,132.64129,67.00000,3.76256,625.00000
1.18966,6.98238,75.61437,58.00000,5.65814,125.00000
1.22500,5.71429,83.29863,40.00000,2.28571,562.00000
1.34545,6.39362,105.91673,55.00000,2.44120,562.00000
1.21212,5.21776,125.00000,33.00000,2.37171,438.00000
1.22414,6.88333,87.28427,58.00000,3.79770,625.00000
1.48000,5.81238,171.65814,50.00000,2.20871,438.00000
1.21739,4.34659,204.08163,23.00000,2.83473,375.00000
1.32692,6.26006,134.42554,52.00000,3.00965,562.00000
1.28814,6.76776,114.26593,59.00000,4.12948,500.00000
1.22222,4.70010,128.55831,27.00000,2.78524,438.00000
1.59091,7.43736,147.95918,88.00000,3.80319,438.00000
1.20690,6.93233,65.30612,58.00000,3.10759,500.00000
1.17949,5.75024,75.61437,39.00000,2.94884,625.00000
1.26786,6.64598,75.38187,56.00000,3.44167,812.00000
1.30303,7.11696,86.53326,66.00000,3.12715,500.00000
1.43662,7.03005,92.27220,71.00000,2.97044,438.00000
1.13725,6.69663,77.28894,51.00000,3.93919,500.00000
1.16327,6.49021,73.86888,49.00000,3.44378,625.00000
1.56061,6.50317,135.73381,66.00000,3.35012,562.00000
1.45714,4.90098,322.95271,35.00000,2.38048,625.00000
1.05714,5.75396,29.21841,35.00000,2.79478,562.00000
1.22727,5.98764,75.44582,44.00000,3.40207,562.00000
1.39535,7.85069,76.38889,86.00000,5.56851,250.00000
1.50000,6.00000,161.56074,54.00000,3.00000,500.00000
1.45600,9.26562,210.11955,125.00000,6.37474,438.00000
1.79545,7.00090,253.16456,88.00000,3.81867,750.00000
1.56701,7.86774,142.83241,97.00000,4.29887,500.00000
1.18000,6.50945,74.69118,50.00000,4.16605,438.00000
1.34211,5.32106,161.47636,38.00000,2.80056,500.00000
1.56897,6.08005,164.23137,58.00000,1.99174,438.00000
1.19048,5.93970,80.00000,42.00000,4.10122,438.00000
1.81395,4.86879,414.20118,43.00000,3.62329,375.00000
1.37179,7.54054,92.58451,78.00000,3.19023,688.00000
1.49123,6.18252,119.03114,57.00000,3.47089,312.00000
1.47222,4.94498,213.59915,36.00000,3.15929,500.00000
1.21951,5.79828,80.00000,41.00000,2.12132,625.00000
1.27419,6.97554,64.09229,62.00000,3.26275,500.00000
1.14000,6.62266,49.24592,50.00000,4.76832,250.00000
1.58333,3.89331,415.51247,24.00000,1.94666,375.00000
1.16000,6.56532,83.23424,50.00000,3.67658,562.00000
1.25000,5.65685,96.00000,40.00000,2.82843,562.00000
1.42857,3.13050,400.00000,14.00000,1.34164,250.00000
1.28571,5.71548,102.88066,42.00000,1.90516,438.00000
1.09091,4.49073,104.16667,22.00000,3.26599,500.00000
1.00000,2.00000,0.00000,4.00000,2.00000,0.00000
1.29630,6.45423,159.18367,54.00000,3.82473,375.00000
1.32258,4.84139,249.85128,31.00000,3.43582,250.00000
1.34483,4.64372,328.73110,29.00000,3.04243,250.00000
1.34375,4.87995,173.06652,32.00000,2.43998,375.00000
3.12500,2.77128,1635.55556,24.00000,1.84752,125.00000
1.50000,4.47214,187.65432,30.00000,3.57771,312.00000
1.48864,7.68860,100.22726,88.00000,2.53374,500.00000
1.35294,7.08949,89.79206,68.00000,3.75326,625.00000
1.32727,6.43726,138.86283,55.00000,4.09644,375.00000
1.75000,5.85540,239.45578,60.00000,3.22047,688.00000
1.12903,5.23996,65.30612,31.00000,2.87352,625.00000
1.22222,5.42720,123.96694,36.00000,2.56285,438.00000
1.10000,5.22233,73.46189,30.00000,2.43709,312.00000
1.14634,5.98046,63.37709,41.00000,1.89624,562.00000
1.12766,6.45595,42.71983,47.00000,3.84610,500.00000
1.28571,8.08290,68.58711,84.00000,3.65655,625.00000
1.33684,8.42989,58.28012,95.00000,4.52552,625.00000
1.32979,8.40762,60.16000,94.00000,4.11437,625.00000
1.61972,6.62078,151.22873,71.00000,2.98402,562.00000
1.52727,6.00099,161.56463,55.00000,2.50951,500.00000
1.12903,7.41042,48.97959,62.00000,5.97614,0.00000
1.41935,4.67343,175.61983,31.00000,3.46738,312.00000
1.20690,4.90189,97.95918,29.00000,3.04256,250.00000
1.42553,5.74196,124.74939,47.00000,3.42074,500.00000
1.34426,6.73632,107.07912,61.00000,3.31295,438.00000
1.13953,6.14286,58.30904,43.00000,2.71429,562.00000
1.41096,7.19290,113.11151,73.00000,4.23692,438.00000
1.04545,4.58732,37.80718,22.00000,1.45960,250.00000
1.21311,10.02834,54.78451,122.00000,6.74036,500.00000
1.29412,6.27767,156.10652,51.00000,2.83110,375.00000
1.39286,6.34075,147.92899,56.00000,2.71746,562.00000
1.30909,6.48181,69.44444,55.00000,3.29983,500.00000
1.20000,5.00000,108.02469,30.00000,2.00000,688.00000
1.43860,6.29460,151.69542,57.00000,2.31906,625.00000
1.20408,6.37926,86.18213,49.00000,4.81699,375.00000
1.76471,5.37587,501.23457,51.00000,2.74064,625.00000
1.60714,5.90292,212.34568,56.00000,3.37310,312.00000
1.28571,4.04145,246.91358,21.00000,2.50185,500.00000
1.60000,3.95285,487.50000,25.00000,2.68794,438.00000
1.20690,4.90189,97.95918,29.00000,2.53546,500.00000
1.44118,4.85714,174.92711,34.00000,2.42857,562.00000
1.56410,4.99344,284.86966,39.00000,1.92055,625.00000
1.18750,7.34130,62.32687,64.00000,3.44124,625.00000
1.29032,4.90153,175.00000,31.00000,3.16228,312.00000
