# coordinating_conjunction, numeral, determiner, existencial, subordinatingConjunction, adjective, comparativeAdjective, superlativeAdjective, ordinalAdjective_or_numeral, modalAuxiliary, singular_or_massCommun_noun, pluralCommonNoun, preposition, participle, predeterminer, genitiveMarker, personalPronoun, possessivePronoun, adverb, comparativeAdverb, superlativeAdverbs, preposition_or_infinitive, n_verb_baseForm, n_verb_pastTense, n_verb_gerund, n_verb_pastParticiple, n_verb_thirdPersonSingPresent, n_whDeterminer, n_whAdverb, whPronoun, avaliacao
3,2,5,0,2,4,0,0,2,0,9,0,7,0,0,2,3,3,6,0,0,4,2,3,4,0,1,0,0,1,688
23,1,26,1,15,16,0,0,1,4,41,2,25,2,1,6,49,3,29,0,0,20,11,32,7,2,5,0,6,13,812
3,0,5,0,1,3,0,0,0,0,5,0,3,2,0,0,8,1,4,0,0,2,1,4,1,2,1,0,0,1,500
2,1,6,0,9,5,0,0,1,3,11,0,4,0,0,1,6,1,6,0,0,4,2,7,0,0,0,0,1,4,688
7,0,10,1,1,1,0,0,0,1,22,0,14,0,0,2,4,3,5,0,0,12,3,8,3,0,0,0,3,1,688
5,1,19,1,10,12,0,0,1,3,25,1,20,1,0,3,18,2,19,6,0,12,5,10,3,1,2,0,3,11,875
6,0,17,0,0,7,0,0,1,2,22,2,6,2,0,1,11,2,7,1,0,7,4,5,0,2,5,0,1,3,688
3,0,3,0,0,5,0,0,0,0,12,1,4,0,0,1,1,2,3,0,0,3,1,5,1,0,0,0,0,0,188
5,0,1,0,0,0,0,0,0,0,7,0,6,0,0,0,7,0,7,1,0,3,0,4,3,0,0,0,0,0,375
12,5,36,0,4,3,0,0,5,0,56,24,30,3,2,12,33,13,13,0,0,14,4,14,0,3,20,0,1,1,562
7,0,18,2,1,6,0,0,0,3,30,1,15,2,0,5,12,8,10,0,0,8,1,12,0,2,2,0,4,1,562
9,0,6,0,3,8,1,0,0,0,16,1,4,3,1,2,10,3,7,1,0,4,2,10,2,3,0,0,2,2,312
0,0,4,0,1,1,0,0,0,0,5,0,1,0,0,1,2,0,0,0,0,1,1,0,0,0,2,0,0,2,62
7,2,19,2,5,5,0,0,2,4,30,9,13,2,0,7,12,5,7,1,0,7,4,13,0,2,1,0,0,3,500
10,0,29,5,11,1,0,0,1,8,44,10,23,4,3,8,18,9,17,6,0,20,12,15,1,4,3,0,2,8,875
1,0,4,0,1,2,0,0,0,0,7,1,5,1,0,2,0,1,4,0,0,1,0,2,0,1,0,0,0,1,500
4,2,11,0,3,5,0,0,2,1,20,3,12,0,0,5,4,0,9,0,0,3,1,8,1,0,3,0,0,3,625
8,2,11,1,4,5,0,0,2,1,17,5,8,1,0,2,11,0,5,0,0,7,5,11,1,1,0,0,1,2,625
9,1,5,1,0,0,0,0,1,0,7,1,6,0,0,5,1,6,2,0,0,1,0,0,0,0,0,0,0,4,438
9,1,6,0,7,6,0,0,1,0,16,3,10,0,0,6,2,0,0,0,0,6,3,3,1,0,0,0,0,5,312
13,2,19,0,2,6,0,0,3,0,34,9,20,3,0,11,7,4,8,0,0,10,5,18,2,3,1,0,3,1,562
1,0,2,0,0,4,0,0,0,0,5,2,3,0,0,3,4,0,1,0,0,1,1,0,0,0,2,0,0,0,562
21,1,25,4,5,10,0,0,1,5,50,8,27,5,0,10,19,9,16,2,0,16,6,26,5,5,0,0,2,5,438
12,0,13,5,3,5,0,0,0,5,25,4,9,3,0,2,3,9,6,0,0,8,4,10,0,3,2,0,2,2,562
6,1,16,1,0,1,0,0,1,2,17,3,6,1,3,1,5,8,6,1,0,5,1,6,0,1,1,0,1,0,500
14,0,27,0,2,6,0,0,0,1,25,6,25,3,2,9,6,5,6,0,0,11,4,5,1,3,4,0,0,1,375
5,0,18,1,3,2,0,0,1,2,28,12,14,2,1,4,6,5,5,0,0,12,3,8,5,2,0,0,2,1,938
4,4,8,0,4,5,1,0,4,0,21,3,13,1,0,5,12,0,6,0,0,6,5,8,1,1,0,0,1,4,500
9,1,23,1,9,6,0,0,1,2,30,12,18,1,1,7,9,2,15,0,0,12,5,9,2,1,0,0,3,5,688
5,0,15,0,1,2,2,0,0,0,19,6,8,2,1,3,3,0,5,2,0,5,3,7,1,2,1,0,1,1,500
23,4,27,1,5,9,1,0,4,1,55,3,32,2,0,6,19,9,19,1,0,21,8,28,2,2,0,0,3,3,625
1,2,16,0,0,1,0,0,2,0,16,1,9,0,2,3,3,2,1,1,0,5,0,4,0,0,1,0,0,0,438
3,0,4,0,0,0,0,0,0,0,4,0,3,0,0,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
14,1,23,2,8,14,0,0,1,7,47,14,16,4,0,2,25,9,21,2,0,21,15,19,2,4,3,0,2,6,562
5,1,8,0,5,0,0,0,1,0,16,4,7,2,0,4,6,1,6,0,0,7,5,9,0,2,2,0,1,0,500
9,0,23,1,9,8,1,0,0,5,42,12,23,1,4,5,41,10,30,3,0,23,12,38,0,1,6,0,10,5,625
9,0,23,1,9,8,1,0,0,5,42,12,23,1,4,5,41,10,30,3,0,23,12,38,0,1,6,0,10,5,562
4,0,15,0,3,2,0,0,0,2,18,10,5,0,4,4,7,5,3,0,0,6,5,7,0,0,0,0,0,1,500
7,1,13,3,1,0,0,0,1,3,17,3,4,1,0,3,9,0,2,0,0,2,1,5,0,1,0,0,1,2,500
8,3,25,0,10,5,1,0,3,2,40,10,18,3,0,8,19,2,12,2,0,17,9,13,3,3,3,0,2,3,500
5,0,10,0,5,5,0,0,0,2,21,1,14,0,0,5,20,0,5,0,0,7,2,8,1,0,4,0,0,7,438
5,5,21,2,0,5,0,0,5,2,27,6,9,1,0,2,7,8,6,0,0,3,0,17,0,1,10,0,0,3,312
12,0,10,0,0,4,0,0,0,0,18,0,9,0,0,3,11,0,2,0,0,3,1,10,2,0,1,0,0,2,375
8,0,17,0,8,4,1,0,0,3,33,6,18,2,2,4,15,2,10,1,0,13,7,15,1,2,1,0,4,4,500
7,0,5,0,1,3,0,0,2,0,15,3,8,2,0,4,8,0,1,0,0,3,1,3,0,2,0,0,0,2,375
5,0,11,2,3,2,0,0,1,2,15,2,9,2,0,5,3,4,6,0,0,4,4,7,0,2,1,0,1,1,562
7,1,18,3,2,4,0,0,1,3,22,0,14,1,2,6,19,5,4,0,0,4,1,11,3,1,1,0,3,1,438
8,1,21,4,15,7,0,0,1,5,38,2,20,1,0,5,35,4,19,0,0,11,4,18,3,1,10,0,4,9,438
0,0,14,2,1,6,0,0,0,2,16,4,5,2,1,1,5,4,9,3,0,4,2,3,1,2,7,0,2,0,625
4,1,12,0,2,1,0,0,1,0,16,1,9,1,0,1,8,0,9,4,0,8,0,5,2,1,7,0,0,1,500
3,0,6,1,6,2,0,0,0,1,13,2,7,0,0,4,10,2,4,0,0,3,3,7,1,0,2,0,1,5,562
21,0,22,0,1,22,0,0,4,0,51,2,44,3,0,22,30,0,8,0,0,12,0,25,2,3,2,0,1,2,562
20,2,31,1,7,6,0,0,2,1,46,28,26,2,2,9,10,1,8,1,0,12,8,21,3,2,8,0,2,3,562
3,2,20,2,6,7,0,0,2,4,33,2,19,0,0,2,36,0,13,1,0,19,7,21,1,0,17,0,3,8,312
9,0,22,3,3,7,0,0,0,3,23,2,12,2,3,1,12,7,7,0,0,8,2,10,0,2,0,0,2,1,438
9,8,12,1,1,1,0,0,8,0,6,3,10,1,0,4,2,5,5,0,0,5,0,0,0,1,1,0,3,1,562
4,3,15,0,0,4,0,0,4,0,17,9,21,0,0,4,3,8,4,0,0,12,0,4,0,0,2,0,0,5,562
19,3,18,1,0,4,0,0,3,1,12,2,21,1,0,6,7,6,21,6,0,12,1,1,0,1,4,0,0,6,500
8,1,14,3,2,7,0,0,1,8,24,2,15,0,1,2,16,4,10,1,0,11,5,6,2,0,3,0,1,2,625
6,2,9,1,4,4,0,0,2,1,10,3,5,0,0,1,3,5,16,4,0,4,0,1,0,0,5,0,4,6,562
6,2,10,1,3,4,0,0,2,1,10,3,4,0,0,0,2,5,15,4,0,4,0,1,0,0,4,0,4,6,562
14,1,31,0,1,14,0,0,2,1,66,21,25,1,1,9,14,11,4,1,0,12,3,23,5,1,5,0,0,1,562
14,1,34,2,6,4,0,0,1,6,29,6,20,1,0,11,20,2,15,2,0,9,4,23,3,1,3,0,0,5,562
6,1,10,2,5,3,0,0,1,4,13,0,7,1,0,1,5,2,8,1,0,3,1,5,0,1,4,0,3,3,438
1,0,13,0,1,1,0,0,1,0,13,5,9,0,0,4,4,0,5,0,0,0,0,3,0,0,5,0,2,3,500
5,1,9,0,5,2,0,0,1,5,19,2,7,1,1,2,15,3,4,0,0,9,5,6,1,1,0,0,2,1,438
16,2,27,3,5,4,0,0,2,5,36,8,17,3,3,6,17,7,8,0,0,14,6,11,0,3,14,0,0,4,750
1,3,16,1,3,3,1,0,3,1,31,7,18,1,0,7,5,4,8,3,0,7,2,17,0,1,2,0,0,4,562
17,1,26,2,4,5,0,0,1,3,45,9,20,1,2,7,20,7,6,0,0,14,5,20,2,1,3,0,2,3,375
7,0,18,0,8,4,0,0,0,1,28,3,10,0,0,5,25,1,19,0,0,9,8,22,0,0,13,0,4,4,500
12,3,19,1,9,5,0,0,3,1,44,8,17,1,0,8,12,0,13,0,0,9,4,8,2,1,6,0,1,6,500
12,4,31,3,15,14,1,0,5,7,51,8,28,2,0,15,35,6,26,1,0,21,12,30,7,2,9,0,7,11,438
2,0,16,0,2,0,0,0,0,2,14,0,7,0,2,1,7,7,4,0,0,6,2,6,0,0,3,0,1,2,438
15,5,16,4,4,6,0,0,5,4,34,5,18,2,0,7,22,4,17,5,0,11,5,16,0,2,2,0,2,3,562
0,1,2,0,3,2,0,0,1,0,4,1,3,0,0,3,7,0,4,2,0,2,2,2,3,0,1,0,0,2,438
18,6,25,0,6,8,0,0,6,4,35,7,12,2,1,3,27,6,18,4,0,13,7,17,4,2,1,0,2,11,562
3,0,5,1,0,2,0,0,0,1,8,0,8,1,0,3,9,0,0,0,0,3,0,6,1,1,2,0,0,0,312
3,3,10,0,2,5,0,0,3,0,22,1,12,0,1,7,12,2,5,2,0,6,2,5,0,0,5,0,0,5,312
14,0,22,0,5,1,0,0,0,1,29,5,17,1,0,6,4,4,5,0,0,5,3,8,3,1,1,0,1,2,438
10,0,28,8,6,9,0,0,0,10,45,9,28,4,0,13,23,5,10,0,0,11,6,16,2,4,4,0,3,5,688
4,1,31,5,15,12,0,0,1,6,39,7,18,6,0,6,14,4,14,0,0,17,10,18,5,6,6,0,1,10,812
6,4,34,1,2,15,0,0,4,1,57,2,32,3,5,10,20,4,10,0,0,18,0,10,0,3,9,0,0,3,375
6,0,26,0,8,4,0,0,0,2,39,1,26,0,2,7,22,11,17,2,0,17,5,24,4,0,1,0,7,5,625
4,0,22,1,2,12,0,0,1,1,37,9,16,3,1,6,14,10,11,0,0,15,6,10,2,3,2,0,4,3,625
26,2,22,2,3,15,0,0,2,2,51,9,18,0,0,5,9,1,10,1,0,11,6,10,0,0,3,0,0,2,500
3,0,17,0,2,6,0,0,0,0,29,4,14,0,2,8,5,7,9,4,0,5,1,9,0,0,5,0,1,1,375
3,0,8,2,2,5,0,0,0,2,17,1,6,2,0,2,12,1,4,0,0,3,0,8,0,2,2,0,1,1,250
4,1,9,1,4,0,0,0,1,2,16,7,9,2,0,2,14,7,11,2,0,7,2,13,5,2,0,0,2,5,562
13,3,21,0,6,5,0,0,4,1,32,12,9,0,0,4,29,1,6,1,0,11,8,14,1,0,1,0,2,4,562
19,3,17,0,9,7,0,0,4,5,28,2,13,1,0,4,27,0,21,0,0,19,11,20,0,1,6,0,5,1,438
5,0,19,4,4,10,1,0,3,4,18,2,11,3,4,4,16,2,9,1,0,3,1,5,1,3,0,0,2,6,562
4,0,18,0,2,6,0,0,1,2,21,5,6,0,2,2,8,6,4,0,0,4,1,1,1,0,3,0,1,1,562
19,9,16,1,5,14,3,0,9,5,41,24,14,0,0,5,27,1,26,7,0,8,5,20,1,0,0,0,0,3,500
1,0,5,3,3,10,0,0,0,4,20,3,9,0,0,3,21,2,15,2,0,4,2,16,0,1,8,0,3,3,625
10,0,14,2,7,6,0,0,0,2,25,6,11,1,0,1,9,0,15,1,0,11,4,7,1,1,2,0,4,6,500
15,3,26,1,6,5,0,0,3,2,34,5,9,1,1,1,18,3,4,0,0,19,11,13,0,1,3,0,1,4,562
15,3,26,1,6,4,0,0,3,2,35,6,9,1,1,1,18,3,4,0,0,19,11,13,0,1,3,0,1,4,562
11,2,34,2,10,10,0,0,2,5,51,6,17,2,2,5,47,8,24,0,0,11,5,31,1,2,11,0,4,13,562
2,0,15,0,3,2,0,0,0,0,20,4,10,0,1,4,7,5,8,0,0,9,7,8,1,0,2,0,3,3,562
10,3,21,3,5,1,0,0,3,3,31,8,19,0,3,5,15,5,9,5,0,13,7,14,1,0,2,0,2,6,500
12,0,7,0,1,5,0,0,0,0,16,4,7,0,0,3,6,0,1,0,0,2,0,10,2,0,0,0,0,1,438
10,1,16,2,11,5,0,0,1,4,24,7,11,0,1,4,28,0,7,0,0,3,1,1,0,0,2,0,5,3,438
11,1,23,0,5,4,0,0,1,0,26,1,12,2,3,3,24,10,10,4,0,10,5,21,5,2,2,0,0,4,562
15,2,27,1,8,7,0,0,3,3,56,6,18,1,1,7,15,4,14,1,0,18,10,18,2,1,12,0,4,5,562
3,0,16,2,3,3,0,0,0,2,24,4,13,2,1,4,7,3,4,0,0,8,5,10,2,2,0,0,0,2,562
7,2,18,5,2,4,0,0,2,6,35,9,23,6,0,10,8,4,5,1,0,8,3,10,0,6,0,0,2,4,812
7,1,15,5,3,5,0,0,1,6,37,9,18,8,0,10,7,4,3,0,0,8,3,8,0,8,0,0,1,3,562
10,0,21,2,4,2,0,0,0,3,31,5,13,3,1,5,19,10,9,0,0,9,3,21,0,3,0,0,1,4,562
11,1,22,0,2,21,0,0,1,0,41,6,24,2,2,11,25,8,3,0,0,10,1,4,3,2,4,0,0,0,438
14,4,53,1,13,12,1,0,4,2,56,8,22,2,6,10,21,9,14,2,0,20,11,38,4,2,6,0,6,5,562
8,1,14,0,4,2,0,0,1,0,23,0,11,0,0,4,8,1,4,0,0,11,5,9,1,0,3,0,1,0,500
9,0,17,1,4,11,0,0,1,3,24,2,15,2,0,6,14,2,11,3,0,7,2,9,0,2,5,0,3,0,375
18,0,26,8,14,15,0,0,1,10,31,8,24,4,4,5,24,8,23,6,0,16,6,15,1,4,7,0,3,8,500
6,8,21,1,22,10,0,0,9,2,36,5,23,2,3,7,16,3,19,1,0,17,10,25,1,2,0,0,6,13,438
6,8,21,1,20,10,1,0,9,2,37,5,22,2,2,8,16,3,19,1,0,17,10,26,1,2,0,0,6,12,438
4,0,7,0,3,4,0,0,0,0,20,6,17,3,1,2,16,2,7,3,0,22,11,3,3,3,0,0,1,0,562
10,1,10,2,0,1,0,0,1,0,11,6,15,0,2,9,4,10,17,6,0,5,1,1,0,0,2,0,0,1,562
3,2,2,1,1,0,0,0,2,0,7,3,13,0,0,6,5,5,15,7,0,2,0,0,0,0,0,0,6,1,562
4,2,28,6,10,4,0,0,2,10,40,9,25,1,0,4,18,16,16,1,0,22,15,14,1,1,10,0,4,4,500
10,1,20,2,18,7,0,0,1,2,32,6,21,0,0,6,30,5,15,0,0,21,8,24,3,0,4,0,9,7,688
5,1,10,1,3,3,0,0,1,1,10,4,6,2,1,1,10,4,9,0,0,4,2,15,1,2,1,0,0,1,562
11,0,16,0,2,2,0,0,1,1,23,4,11,2,2,2,7,5,8,0,0,10,2,13,1,2,2,0,0,2,562
7,0,16,0,4,6,0,0,0,0,19,4,12,1,1,7,15,1,11,0,0,4,1,9,1,1,5,0,0,2,750
11,3,38,1,3,3,0,0,3,1,62,27,32,2,4,12,28,13,13,0,0,15,4,13,0,2,7,0,1,1,562
16,0,27,6,9,4,1,0,0,8,34,8,20,8,0,8,35,11,24,1,0,17,13,22,3,8,1,0,5,4,750
24,3,36,3,8,19,0,0,3,4,67,13,45,5,3,16,33,8,32,2,0,27,13,40,1,5,2,0,3,2,562
8,3,19,0,4,2,0,0,3,5,31,13,16,4,2,9,7,4,6,0,0,11,6,7,0,4,0,0,3,0,562
10,1,28,3,10,6,1,0,1,3,42,6,27,3,2,13,12,5,18,1,0,20,14,28,2,3,2,0,5,2,562
3,0,8,0,2,2,0,0,0,2,17,4,8,0,1,3,13,5,5,0,0,4,0,7,4,0,3,0,1,2,562
25,0,25,1,10,2,0,0,0,2,37,12,15,2,3,3,34,6,22,2,0,14,9,19,6,2,6,0,6,8,562
7,5,17,0,2,3,0,0,5,0,28,3,7,0,2,3,10,4,3,0,0,4,3,8,0,0,4,0,0,0,562
16,0,14,1,4,6,0,0,0,2,21,6,9,1,0,2,19,2,11,0,0,4,2,19,0,1,5,0,1,7,562
3,1,23,2,7,4,0,0,1,3,28,6,20,1,5,7,19,11,16,0,0,10,5,20,1,1,3,0,2,5,625
25,1,32,1,10,3,0,0,1,6,38,15,17,4,5,4,34,6,27,3,0,14,11,29,3,4,4,0,5,10,688
8,2,39,2,6,7,1,0,3,3,48,16,15,6,2,6,27,14,22,4,0,25,17,41,0,6,6,0,2,2,562
8,1,29,0,5,9,0,0,1,1,42,6,20,1,1,2,15,10,25,0,0,17,13,17,3,1,4,0,2,3,625
5,1,10,1,2,11,0,0,1,1,23,3,19,2,0,7,13,2,5,0,0,8,3,11,1,2,0,0,2,0,438
15,7,25,0,7,7,0,0,11,0,60,14,33,1,2,7,12,2,15,1,0,10,3,2,1,1,16,0,4,1,438
10,1,27,3,8,8,0,0,1,3,41,7,12,2,1,4,15,3,3,0,0,9,5,13,3,2,1,0,2,5,625
7,0,21,1,5,8,2,0,0,2,32,11,15,3,3,7,10,5,10,1,0,18,15,16,1,3,4,0,2,6,562
12,0,24,4,13,7,0,0,0,6,39,4,18,6,0,6,20,2,21,2,0,19,13,23,3,6,1,0,3,5,750
11,0,2,0,0,0,0,0,0,0,2,0,6,0,0,1,0,4,0,0,0,5,0,0,0,0,0,0,0,0,312
48,2,41,3,6,5,0,0,2,3,54,7,24,0,3,7,26,26,19,1,0,18,11,20,3,0,2,0,2,3,438
43,2,39,2,7,4,0,0,2,2,55,8,22,0,2,8,22,24,15,1,0,16,10,18,3,0,1,0,2,3,562
9,1,4,0,0,3,0,0,1,0,12,0,12,2,0,4,0,0,2,0,0,4,0,2,0,2,1,0,0,0,0
6,0,29,1,2,4,0,0,0,4,43,4,20,1,0,10,16,0,8,2,0,12,4,19,2,1,6,0,1,0,500
5,1,10,3,5,8,1,0,1,4,14,1,10,2,1,5,9,2,8,0,0,4,3,3,2,2,6,0,0,4,438
6,0,18,4,5,5,0,0,1,7,36,4,11,2,0,4,13,5,19,8,0,8,4,19,0,2,3,0,5,6,375
2,0,4,1,0,10,0,0,0,1,12,4,4,2,0,1,3,1,1,0,0,0,0,1,1,2,0,0,0,0,0
20,0,14,0,3,12,1,0,0,0,25,11,14,0,1,2,13,3,5,0,0,6,2,11,1,0,1,0,0,3,188
7,0,20,0,4,11,0,0,1,0,24,1,8,1,2,4,13,3,5,0,0,7,3,5,1,1,1,0,0,2,688
12,1,34,0,6,17,0,0,3,1,46,7,19,2,1,4,27,16,29,0,0,14,8,19,3,2,4,0,2,3,562
2,0,12,1,3,2,0,0,0,2,17,5,5,0,0,1,7,4,6,0,0,6,4,4,1,0,3,0,4,2,500
15,3,23,4,6,1,0,0,3,4,34,10,14,4,2,3,22,5,14,1,0,9,1,21,2,4,6,0,2,3,625
15,0,26,0,8,4,0,0,0,0,32,7,22,1,4,13,10,6,15,2,0,10,5,22,6,1,1,0,2,3,500
21,3,49,6,17,13,0,0,4,8,84,15,38,2,2,15,27,11,38,2,0,43,32,33,4,2,2,0,7,6,562
3,0,9,1,6,7,0,0,0,5,12,5,7,1,0,2,10,2,10,3,0,6,4,0,1,1,3,0,2,3,438
8,0,21,1,12,8,1,0,1,4,31,5,16,5,2,5,11,3,17,1,0,13,8,18,2,5,0,0,4,7,875
0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,62
17,1,29,1,6,7,0,0,1,1,43,9,17,4,1,6,17,9,9,0,0,7,2,16,6,4,5,0,3,2,688
11,2,20,2,1,5,0,0,2,2,31,8,10,4,1,3,7,8,15,3,0,7,7,10,2,4,0,0,3,3,562
7,6,19,1,5,9,0,0,6,5,50,14,17,4,0,12,15,3,12,4,0,11,11,7,2,4,12,0,1,6,562
2,0,8,0,1,4,0,0,0,0,17,4,10,2,0,1,7,2,3,0,0,8,0,3,0,2,3,0,0,2,312
5,0,9,0,7,2,1,0,0,1,13,0,5,2,0,2,11,3,6,0,0,6,6,10,1,2,1,0,0,7,500
6,1,12,1,4,1,0,0,1,1,13,10,4,1,0,3,10,5,7,2,0,2,1,12,0,1,1,0,1,4,500
9,1,30,5,11,10,0,0,2,5,42,5,17,3,1,6,1,8,7,0,0,7,4,13,0,3,0,0,0,3,688
12,2,14,0,0,3,0,0,2,0,26,2,9,0,0,2,15,6,2,0,0,2,0,9,4,0,3,0,1,3,312
9,1,22,1,4,21,1,0,1,5,68,11,30,3,1,12,30,2,16,9,0,9,6,10,2,3,13,0,4,7,250
17,2,22,8,9,4,0,0,2,1,36,7,27,6,0,12,41,8,10,1,0,6,3,17,2,6,21,0,2,4,625
10,6,36,3,2,20,0,0,6,3,54,4,22,3,2,4,5,5,12,3,0,13,0,9,0,4,11,0,2,2,312
9,1,5,0,1,2,0,0,1,0,8,1,8,0,0,3,4,3,2,1,0,5,0,0,0,0,2,0,1,1,562
13,0,10,1,3,18,0,0,0,2,43,3,11,4,0,3,7,1,10,0,0,7,2,16,4,4,0,0,3,0,375
6,1,22,1,9,7,0,0,2,2,29,13,13,2,2,6,10,2,10,0,0,11,7,11,3,2,5,0,2,4,625
9,0,21,3,8,17,0,0,0,4,32,5,18,3,2,5,13,2,11,1,0,9,4,18,2,3,2,0,0,5,562
16,1,44,2,9,5,0,0,1,4,55,11,25,1,5,10,20,18,14,0,0,14,6,21,6,1,0,0,5,7,500
14,0,21,0,5,1,0,0,0,1,29,5,16,0,4,10,14,11,5,0,0,10,6,20,0,0,3,0,2,4,562
10,0,12,0,0,1,0,0,0,1,18,6,8,1,0,3,5,6,8,0,0,7,4,10,1,1,1,0,1,1,500
20,2,27,0,3,1,0,0,2,1,36,7,17,6,0,6,14,8,5,0,0,12,6,28,0,6,2,0,0,2,688
8,0,22,2,6,3,0,0,0,3,24,6,12,0,3,1,19,4,8,4,0,5,1,15,2,0,5,0,1,4,625
13,1,18,0,11,3,0,0,1,0,25,7,15,0,0,5,16,1,9,0,0,13,10,8,10,0,1,0,0,7,562
14,1,25,1,4,5,0,0,1,3,41,9,17,0,0,5,11,3,5,0,0,19,8,17,0,0,5,0,3,0,562
13,2,19,0,9,2,0,0,2,0,24,9,17,0,0,5,16,1,10,0,0,15,11,9,10,0,1,0,0,7,438
19,3,19,0,3,4,0,0,4,0,39,6,20,3,1,8,20,3,12,0,0,7,0,26,1,3,4,0,2,2,438
4,2,10,1,4,4,0,0,2,2,19,6,8,3,1,2,16,1,7,0,0,8,6,12,4,3,0,0,3,1,500
7,0,21,1,4,9,0,0,0,1,44,13,21,8,3,5,8,5,7,0,0,10,2,9,1,8,4,0,1,6,500
17,2,33,2,13,3,0,0,2,4,68,7,28,4,0,11,27,7,6,0,0,16,10,35,4,4,7,0,4,6,500
13,1,17,0,1,6,0,0,1,1,24,4,16,0,2,6,13,4,11,2,0,10,4,11,1,0,4,0,4,0,375
15,2,26,1,6,4,0,0,2,5,37,9,24,2,5,10,24,9,9,0,0,22,12,16,3,2,3,0,3,2,562
19,1,29,4,10,20,0,0,1,5,55,26,23,5,4,9,16,8,2,0,0,30,22,9,0,5,1,0,0,6,562
27,11,38,0,3,17,0,0,12,0,62,12,20,3,1,8,2,5,4,1,0,8,3,10,1,3,7,0,0,3,312
9,3,14,1,7,6,0,0,3,2,17,3,8,1,2,1,6,6,10,2,0,8,5,9,0,1,1,0,1,4,625
6,0,10,2,1,15,0,0,0,2,18,2,2,3,3,0,6,6,3,0,0,5,4,10,0,3,0,0,4,0,562
9,1,15,0,3,5,0,0,1,3,22,0,8,0,2,1,10,1,6,0,0,13,6,8,0,0,1,0,0,4,438
14,0,22,0,9,5,1,0,1,0,34,7,16,3,0,9,10,11,11,2,0,9,5,12,3,3,0,0,1,5,562
6,0,24,3,6,5,1,0,0,3,34,15,17,4,0,5,14,8,15,6,0,10,2,14,2,4,1,0,0,4,562
7,1,24,3,8,2,0,0,1,4,35,4,16,4,0,9,7,8,15,5,0,9,7,12,4,4,0,0,2,5,812
11,0,30,2,6,5,2,0,1,4,58,9,33,3,1,9,20,9,25,3,0,18,7,22,3,3,7,0,6,3,562
9,0,26,1,8,9,1,0,0,5,41,13,24,1,4,6,40,10,29,2,0,20,11,38,0,1,6,0,10,5,562
